samplewt_002,6932444,21.1718
samplewt_003,6933648,21.9422
samplewt_007,6932325,26.1794
samplewt_010,6932595,24.2534
samplewt_024,6932247,23.0978
samplewt_033,6932387,26.1794
samplewt_034,6933719,26.1794
samplewt_038,6933226,23.483
samplewt_039,6934077,24.2534
samplewt_044,6933982,81.2629
samplewt_045,6932837,24.2534
samplewt_046,6933097,26.1794
samplewt_065,6934131,24.2534
samplewt_066,6933524,20.4014
samplewt_067,6933845,22.3274
samplewt_072,6932704,27.7202
samplewt_073,6932508,31.187
samplewt_074,6932544,34.2686
samplewt_075,6933314,45.8246
samplewt_080,6932748,52.373
samplewt_085,6934235,99.7525
samplewt_088,6932427,27.335
samplewt_089,6932558,22.3274
samplewt_095,6932660,73.9442
samplewt_096,6931746,33.4982
samplewt_097,6933160,120.939
samplewt_100,6933458,23.0978
samplewt_1001,6933865,25.409
samplewt_10011,6932557,32.3426
samplewt_1002,6932123,54.299
samplewt_10021,6933734,24.6386
samplewt_10022,,0
samplewt_1003,6931800,21.1718
samplewt_10030,6933878,26.9498
samplewt_10031,6932686,23.0978
samplewt_10040,6933767,23.0978
samplewt_10044,6932095,23.483
samplewt_10073,6931681,21.1718
samplewt_10076,6931890,21.557
samplewt_10078,6933278,26.5646
samplewt_10079,6932209,22.7126
samplewt_10083,6933580,83.5741
samplewt_10096,6933064,23.8682
samplewt_10115,6933500,23.0978
samplewt_10130,6932501,25.409
samplewt_10131,6932802,23.0978
samplewt_10133,6933013,26.5646
samplewt_10134,6932237,23.483
samplewt_10135,6933155,22.7126
samplewt_10136,6932325,26.1794
samplewt_10137,6933791,24.6386
samplewt_10146,6933040,23.0978
samplewt_10147,6933139,24.2534
samplewt_10148,6934205,63.5438
samplewt_10150,6931729,72.0182
samplewt_10151,6934055,22.7126
samplewt_10152,6933291,23.0978
samplewt_10154,,0
samplewt_10155,6932179,23.8682
samplewt_10177,6933934,112.464
samplewt_10178,6932542,224.942
samplewt_10201,6931943,119.783
samplewt_10215,6933981,23.0978
samplewt_10219,6933658,110.153
samplewt_10221,6933568,24.6386
samplewt_10230,6932786,21.1718
samplewt_10233,6932586,23.8682
samplewt_10234,6931647,23.0978
samplewt_10235,6932484,26.1794
samplewt_10236,6932719,46.595
samplewt_10238,6932288,327.791
samplewt_10239,6932026,24.6386
samplewt_10253,6933984,20.7866
samplewt_10265,6933642,23.483
samplewt_10270,6933875,21.1718
samplewt_10273,6931802,26.1794
samplewt_10278,6933334,205.682
samplewt_10294,6932086,21.9422
samplewt_10301,6933549,25.7942
samplewt_10302,6932325,27.335
samplewt_10306,6933796,117.472
samplewt_10310,6932697,24.6386
samplewt_10311,6933531,24.6386
samplewt_10312,6933433,22.7126
samplewt_10314,6931935,29.261
samplewt_10315,6934069,20.7866
samplewt_10316,6931794,22.7126
samplewt_10323,6933739,62.003
samplewt_10337,6931608,23.0978
samplewt_10338,6933035,69.3218
samplewt_10339,6932980,23.483
samplewt_10340,6931613,23.8682
samplewt_10363,6933268,22.7126
samplewt_1037,6934070,22.7126
samplewt_10389,6932738,27.335
samplewt_10390,6932028,21.1718
samplewt_10391,6931612,30.8018
samplewt_10392,,0
samplewt_10404,6933979,23.483
samplewt_10408,6932325,24.6386
samplewt_1041,6932157,25.0238
samplewt_10421,6932097,22.7126
samplewt_10424,6933920,21.9422
samplewt_10425,6933804,21.1718
samplewt_10433,6932182,24.6386
samplewt_10437,6933268,63.5438
samplewt_10438,6933342,22.7126
samplewt_10440,6934036,23.0978
samplewt_10448,6932873,23.8682
samplewt_10451,6932610,25.0238
samplewt_10452,6933521,234.187
samplewt_10456,6933744,23.0978
samplewt_10457,6932325,23.483
samplewt_10458,6931864,20.7866
samplewt_10459,6933325,45.8246
samplewt_1046,6933432,22.7126
samplewt_1047,6933394,103.605
samplewt_10475,6931674,28.1054
samplewt_10476,6933297,22.7126
samplewt_10488,6932198,23.483
samplewt_10493,6933617,24.6386
samplewt_10494,6932624,22.7126
samplewt_10513,6932764,24.6386
samplewt_10518,6934319,160.229
samplewt_10525,6932634,21.9422
samplewt_10526,6931943,27.7202
samplewt_10527,6933427,27.7202
samplewt_10530,6933261,48.9062
samplewt_10542,6933420,25.409
samplewt_10543,6931820,25.0238
samplewt_10544,6933967,26.9498
samplewt_10545,6933128,24.6386
samplewt_10564,6933684,22.7126
samplewt_10576,6933715,28.4906
samplewt_10580,6931854,52.373
samplewt_10581,6932237,22.7126
samplewt_10591,6934276,21.9422
samplewt_10592,6934132,23.483
samplewt_10596,6932544,20.4014
samplewt_10597,6932798,29.6462
samplewt_10598,6932569,23.483
samplewt_10599,6933322,28.1054
samplewt_10607,6931842,26.9498
samplewt_10608,6933788,27.335
samplewt_10614,6931758,25.409
samplewt_10616,6932485,21.9422
samplewt_10617,6933985,20.0162
samplewt_10618,6932756,109.768
samplewt_10624,6932309,78.5666
samplewt_10642,6932390,20.0162
samplewt_10643,6934322,24.2534
samplewt_10649,6933978,35.039
samplewt_10658,6933958,24.2534
samplewt_10668,6933072,23.483
samplewt_1067,6932055,21.9422
samplewt_10673,6933000,23.8682
samplewt_1068,6934090,25.409
samplewt_10680,6933952,24.6386
samplewt_10681,6933456,153.68
samplewt_10682,6933457,76.2554
